sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric	sample
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	categorical
701-Kathy-HB	86643	85329	98.48	82234	80238	92.61	701-Kathy-HB
702-Kelechi-LP	118055	113494	96.14	110695	105757	89.58	702-Kelechi-LP
703-Kamal-WSP	135162	132333	97.91	126865	122076	90.32	703-Kamal-WSP
704-Ahmin-CTP	88	1	1.14	1	1	1.14	704-Ahmin-CTP
705-Bryce-NYP	48956	47399	96.82	45444	44011	89.9	705-Bryce-NYP
706-Sheri-HB	64216	63065	98.21	60177	59288	92.33	706-Sheri-HB
707-Josh-CC	662	378	57.1	329	329	49.7	707-Josh-CC
708-Josh-DP	108514	105134	96.89	103044	99862	92.03	708-Josh-DP
709-DR-MSS	58320	56186	96.34	53797	51667	88.59	709-DR-MSS
710-Marie-MSP	90529	87762	96.94	82520	79834	88.19	710-Marie-MSP
711-GU-Mystery	166692	163391	98.02	157520	150533	90.31	711-GU-Mystery
712-GU-Mystery	128600	126352	98.25	122203	116122	90.3	712-GU-Mystery
